English,Russian
stand,стоять
charge,плата
strong,сильный
military,военный
reduce,уменьшать
sound,звук
probably,наверное
medium,Средняя
agency,агентство
table,стол
range,диапазон
specific,специфический
reach,достигать
carry,нести
likely,вероятно
unit,Ед. изм
employee,работник
april,апрель
analysis,анализ
federal,федеральный
single,Один
explain,объяснять
agreement,соглашение
street,улица
director,директор
especially,особенно
heart,сердце
improve,улучшать
black,чернить
leader,лидер
eye,глаз
version,версия
treatment,лечение
attack,атака
total,общий
statement,утверждение
item,элемент
difference,разница
anything,что-нибудь
regard,внимание
bank,банк
fire,Огонь
official,официальный
break,перерыв
watch,смотреть
quite,довольно
discuss,обсуждать
discussion,обсуждение
usually,как правило
car,автомобиль
simply,просто
themselves,самих себя
worker,работник
necessary,необходимо
letter,письмо
evidence,свидетельство
various,различный
establish,учреждать
similar,похожий
email,Эл. адрес
due,в связи
english,английский
authority,орган власти
minute,минута
road,Дорога
council,совет
direct,непосредственный
legal,юридический
conference,конференция
walk,ходить
nature,природа
main,главный
publish,публиковать
natural,естественный
structure,состав
thus,таким образом
identify,идентифицировать
itself,сам
disease,болезнь
operation,эксплуатация
association,ассоциация
iraq,Ирак
recent,недавний
production,производство
seek,стремиться
plant,растение
function,функция
simple,просто
win,победить
raise,поднимать
guide,руководство
measure,мера
credit,кредит
goal,Цель
population,численность населения
relate,иметь отношение к
across,через
drug,"препарат, средство, медикамент"
growth,рост
die,умереть
teach,учат
remember,помнить
ensure,гарантировать
request,запрос
accept,принимать
average,в среднем
sit,сидеть
am,являюсь
size,размер
strategy,стратегия
basic,базовый
blood,кровь
instead,вместо
perhaps,возможно
picture,рисунок
september,сентябрь
tool,орудие труда
february,февраль
ago,назад
challenge,вызов
choice,выбор
ability,способность
helpful,полезный
solution,решение
series,серии
outside,вне
animal,животное
reference,ссылка
third,в третьих
requirement,требование
cut,резать
character,персонаж
option,вариант
cell,клетка
theory,теория
factor,фактор
bit,немного
occur,происходить
effective,эффективно
exist,существовать
anyone,кто угодно
culture,культура
everyone,все
impact,влияние
degree,степень
below,ниже
join,присоединиться
card,карта
phone,Телефон
supply,поставка
maintain,поддерживать
european,европейский
october,октябрь
everything,все
potential,потенциал
video,видео
library,библиотека
july,июль
mark,отметка
represent,представлять
therefore,следовательно
title,заглавие
addition,добавление
yes,да
vote,голосование
demand,потребность
nation,нация
copy,скопировать
difficult,сложно
sometimes,иногда
foreign,иностранный
stay,оставаться
attempt,пытаться
exercise,упражнение
enter,входить
update,Обновить
travel,путешествовать
police,полиция
bear,нести
store,хранить
notice,уведомление
officer,офицер
half,половина
kill,убийство
commission,комиссия
player,игрок
movement,движение
original,оригинал
contract,договор
additional,дополнительный
loss,потеря
appropriate,подходящее
ground,земля
december,Декабрь
protect,защищать
manage,управлять
global,Глобальный
prepare,подготовить
front,передний
principle,принцип
century,век
significant,существенный
central,центральный
refer,ссылаться
economy,экономика
dog,собака
affect,оказывать воздействие
physical,физический
income,доход
rise,повышаться
recognize,распознавать
check,проверить
success,успех
object,объект
website,Веб-сайт
washington,Вашингтон
november,ноябрь
wait,ждать
near,около
final,финал
west,Запад
responsibility,обязанность
administration,администрация
else,еще
define,определять
achieve,достигать
wish,желание
girl,девочка
minister,министр
box,коробка
task,задача
conduct,поведение
safety,безопасность
perform,выполнять
rest,отдыхать
east,Восток
region,область
manager,менеджер
grant,грант
communication,коммуникация
hospital,больница
piece,кусок
six,шесть
copyright,авторское право
chapter,глава
foot,ступня
soon,скоро
draw,рисовать
finally,наконец
purchase,покупка
save,спасти
couple,пара
basis,основа
fight,Борьба
fail,неудача
avoid,избегать
compare,сравнивать
mother,мать
reader,читатель
limited,ограничено
wrong,неправильный
attention,внимание
club,клуб
journal,журнал
poor,бедных
facility,средство
red,красный
procedure,процедура
thought,подумал
element,элемент
stage,сцена
environmental,относящийся к окружающей среде
uk,Соединенное Королевство
mention,упомянуть
behind,позади
respect,уважать
town,город
topic,тема
europe,Европа
location,место нахождения
mr,Мистер
david,Дэйвид
associate,ассоциировать
track,отслеживать
indicate,указывать
weight,масса
color,цвет
investment,инвестиции
award,награда
pressure,давление
opinion,мнение
encourage,поощрять
lack,недостаток
election,выборы
county,округ
equipment,оборудование
british,британский
particularly,особенно
select,Выбрать
consumer,потребитель
peace,мир
executive,должностное лицо
sort,Сортировать
kid,ребенок
gain,прирост
firm,фирма
institution,институт
client,клиент
august,август
enjoy,наслаждаться
writ,приказ
army,армия
whose,чья
concept,концепция
protection,защита
middle,середина
interview,интервью
reply,Ответить
tree,дерево
remove,Удалить
eat,есть
technique,техника
arm,рука
prevent,не допустить
former,бывший
london,лондон
express,выражать
propose,предлагать
wide,широкий
interesting,интересно
campaign,кампания
lie,ложь
himself,сам
influence,влиять
throughout,через
voice,голос
generally,в целом
father,отец
recommend,рекомендовать
capital,столица
currently,В данный момент
beyond,вне
target,цель
style,стиль
maybe,может быть
recently,в последнее время
canada,Канада
treat,относиться
collection,коллекция
insurance,страхование
hit,ударять
argument,аргумент
machine,машина
guy,парень
inside,внутри
de,департамент
chance,шанс
doctor,доктор
forward,вперед
realize,понимать
park,парк
yourself,сам
earth,Земля
print,Распечатать
boy,мальчик
star,звезда
survey,опрос
movie,кино
promote,продвигать
depend,зависеть
obtain,получать
serious,серьезный
district,округ
weapon,оружие
modern,современный
station,станция
damage,повреждать
limit,предел
entire,весь
fear,страх
alternative,альтернатива
introduce,представлять
display,отображать
moment,момент
institute,институт
california,калифорния
baby,детка
race,гонка
directly,напрямую
annual,ежегодный
career,карьера
trust,доверять
useful,полезный
sector,сектор
technical,техническое средство
e-mail,Эл. почта
train,тренироваться
responsible,ответственный
fine,отлично
green,зеленый
clearly,четко
successful,успешный
provision,обеспечение
miss,Мисс
son,сын
pattern,шаблон
daily,ежедневно
christian,христианский
status,положение дел
previous,предыдущий
prove,доказывать
truth,правда
freedom,Свобода
thousand,тысяча
independent,независимый
fee,платеж
submit,Разместить
stock,снабжать
aspect,аспект
pretty,хорошенький
wall,стена
variety,разнообразие
understanding,понимание
morning,утро
partner,партнер
wife,жена
adult,взрослый
unless,пока не
george,Джордж
teaching,преподавание
china,Китай
deep,глубокий
advice,совет
normal,обычный
transfer,передача
defence,защита
fast,быстро
quickly,быстро
employment,трудоустройство
positive,положительный
commercial,коммерческий
regulation,регулирование
relation,связь
fill,наполнять
certainly,безусловно
pick,выбирать
operate,действовать
payment,оплата
map,карта
progress,прогресс
photo,Фото
entry,Вход
happy,счастливый
door,дверь
glass,стакан
james,Джеймс
direction,направление
foundation,Фонд
complex,сложный
services,Сервисы
sea,море
exchange,обмен
listen,Слушать
traditional,традиционный
server,сервер
assume,предполагать
nor,ни
civil,гражданское хозяйство
primary,начальный
debate,дебаты
ship,корабль
drop,уронить
behavior,поведение
budget,бюджет
myself,себя
labor,труд
summer,лето
category,категория
critical,критический
indeed,действительно
scientific,научный
aid,помогать
deliver,доставлять
description,описание
estimate,оценивать
prior,прежний
expert,эксперт
implement,осуществлять
schedule,расписание
judge,судить
toward,к
highly,высоко
separate,отдельный
session,сессия
fair,справедливый
marriage,свадьба
connection,связь
worth,стоимость
digital,цифровой
respond,реагировать
nuclear,ядерный
billion,миллиард
professor,профессор
speech,речь
conflict,конфликт
reading,чтение
device,устройство
dollar,доллар
block,блокировать
alone,в одиночестве
towards,к
senior,старший
michael,Майкл
balance,остаток средств
reserve,бронировать
congress,конгресс
discover,обнаружить
register,регистр
planning,планирование
reflect,отражать
assessment,оценка
justice,справедливость
failure,отказ
nearly,почти
tv,телевидение
safe,безопасно
quote,Цитировать
secretary,секретарь
argue,спорить
owner,владелец
agent,агент
despite,несмотря
sample,образец
sex,секс
cancer,рак
academic,академический
majority,большинство
division,разделение
memory,объем памяти
attend,присутствовать
popular,популярный
marketing,маркетинг
mile,миль
song,песня
advantage,преимущество
nice,отлично
gas,газа
easily,с легкостью
active,активный
proposal,предложение
radio,радио
hundred,сотня
error,ошибка
educational,образование
via,с помощью
trial,испытание
context,контекст
season,сезон
except,Кроме
duty,долг
format,формат
vehicle,транспортное средство
advance,продвигать
religious,религиозной
reality,реальность
magazine,журнал
otherwise,иначе
aim,цель
objective,задача
fun,веселье
ready,готов
wear,носить
surface,поверхность
mission,миссия
enable,включить
explore,исследовать
edition,версия
stuff,вещи
wonder,задаваться вопросом
whatever,что бы ни
permit,разрешать
usa,Соединенные Штаты Америки
participate,участвовать
graduate,выпускник
speed,скорость
contribute,делать вклад
mass,масса
handle,ручка
employer,работодатель
robert,Роберт
related,связанные с
french,французкий язык
western,западный
volume,объем
desire,желание
blue,синий
component,составная часть
essential,существенный
editor,редактор
locate,находка
cross,Пересекать
england,Англия
pain,боль
immediately,немедленно
river,река
host,хозяин
overall,общий
fully,от корки до корки
regular,обычный
wo,вовс
fit,соответствовать
floor,пол
citizen,гражданин
excellent,превосходно
completely,полностью
organize,организовать
catch,ловить
reform,реформа
clean,чистый
corporate,корпоративный
wind,ветер
index,показатель
corporation,корпорация
chief,главный
flow,поток
exactly,точно
feeling,чувство
intend,намереваться
learning,обучение
master,мастер
correct,верный
cultural,культурность
replace,заменять
publication,публикация
sun,солнце
brain,головной мозг
labour,труд
instance,пример
crime,преступление
writer,писатель
database,база данных
score,счет
forum,Форум
finish,Конец
introduction,вступление
artist,художник
assistance,содействие
hot,горячий
arrive,прибыть
generation,поколение
demonstrate,продемонстрировать
mail,Почта
tend,иметь тенденцию
background,фон
count,считать
construction,строительство
sleep,спать
dead,мертвых
launch,запуск
command,команда
strike,забастовка
welcome,Добро пожаловать
regional,региональный
vision,зрение
patch,пластырь
threat,угроза
competition,конкуренция
announce,объявлять
speaker,оратор
candidate,кандидат
scheme,схема
plus,плюс
sunday,Воскресенье
tip,кончик
grade,оценка
adopt,усыновить
screen,экран
medicine,медицина
match,соответствие
instruction,инструкция
leadership,лидерство
scientist,ученый
round,круглый
lesson,урок
spring,весна
relevant,соответствующие
collect,собирать
bar,бар
cold,холодно
television,телевидение
definition,определение
richard,Ричард
generate,генерация
dream,мечтать
hotel,отель
scale,шкала
conclusion,заключение
distribution,распределение
san,сан
shop,магазин
examine,исследовать
oh,ой
representative,представитель
waste,трата
actual,действительный
peter,Питер
whom,кому
village,поселок
africa,Африка
presentation,презентация
william,Уильям
participant,участник
lord,господин
extend,продлевать
rock,рок
stress,стресс
appeal,обращаться
blog,блог
times,времена
industrial,индустриальный
strength,сила
forget,забывать
pull,тянуть
decade,десятилетие
importance,важность
politics,политика
drink,напиток
belief,вера
spirit,дух
electronic,электронный
approve,утвердить
suffer,страдать
trip,поездка
equal,равный
extra,дополнительный
licence,лицензия
perspective,перспектива
shape,форма
unique,уникальный
secure,безопасный
cheque,проверить
telephone,телефон
doubt,сомневаться
german,Немецкий
engine,двигатель
huge,огромный
husband,муж
reveal,раскрывать
recommendation,рекомендация
contribution,вклад
writing,пишу
gift,подарок
suppose,предполагать
housing,Корпус
friday,Пятница
improvement,улучшение
connect,соединять
texas,Техас
circumstance,обстоятельство
fuel,топливо
multiple,несколько
rich,богатый
capacity,емкость
monitor,мониторинг
possibility,возможность
loan,заем
seven,Семь
audience,зрительская аудитория
intelligence,интеллект
funding,финансирование
engage,привлекать
throw,бросать
religion,религия
push,толкать
initiative,инициатива
fly,летать
promise,обещать
net,сеть
powerful,мощный
faith,Вера
expand,расширять
scene,сцена
band,группа
iraqi,Ирак
male,мужчина
faculty,факультет
touch,трогать
island,остров
smith,Смит
sport,спорт
perfect,идеально
australia,Австралия
aware,осведомленный
commit,совершить
slow,медленный
canadian,канадский
hair,волосы
best,Лучший
secret,секретарь
monday,понедельник
engineering,инженер
bed,кровать
india,Индия
left,левый
chair,стул
package,упаковка
legislation,законодательство
battle,боевой
amendment,поправка
practical,практично
feed,кормить
chemical,химическое вещество
female,женский
convention,соглашение
selection,выбор
beginning,начало
birth,рождение
france,Франция
guideline,руководство
finance,финансы
profit,выгода
jesus,Иисус
surprise,сюрприз
soldier,солдат
opening,открытие
commitment,обязательство
bottom,Нижний
emergency,скорая медицинская помощь
sexual,сексуальный
distance,расстояние
initial,исходный
reviewer,рецензент
germany,Германия
revenue,доход
none,никто
struggle,борьба
resolution,разрешающая способность
negative,отрицательный
fish,рыба
fix,исправить
assist,помочь
observe,наблюдать
heavy,тяжелый
eventually,в итоге
label,метка
brother,брат
dark,темный
gun,пистолет
hall,зал
trend,тренд
cool,Круто
privacy,Конфиденциальность
beautiful,красивая
joint,соединение
internal,внутренний
resident,резидент
violence,насилие
daughter,дочь
delivery,Доставка
experiment,эксперимент
provider,провайдер
implementation,реализация
core,основной
minimum,минимально
tour,тур
cent,цент
broad,широкий
cash,наличные
shift,сдвиг
mental,ментальный
japan,Япония
channel,канал
manner,манера
fan,поклонник
meaning,имея в виду
relative,родственник
abuse,злоупотреблять
healthy,здоровый
extent,степень
spread,распространять
worry,волноваться
democratic,демократический
investigation,изучение
double,двойной
heat,нагревать
criminal,уголовное
length,длина
seat,сиденье
install,установить
difficulty,затруднение
imagine,представлять себе
decline,отклонить
injury,"травма, повреждение"
prime,основной
newspaper,газета
researcher,Исследователь
consideration,рассмотрение
outcome,исход
farm,ферма
literature,литература
attitude,отношение
earn,зарабатывать
consequence,последствие
historical,исторический
youth,молодежь
ad,объявление
sponsor,спонсор
admit,признавать
motion,движение
evaluation,оценка
chairman,председатель
lay,класть
enterprise,предприятие
garden,сад
path,дорожка
solve,решать
guess,Угадай
advanced,передовой
edit,редактировать
saturday,Суббота
shoot,стрелять
oppose,противодействовать
vary,отличаться
quick,быстро
coverage,охват
democracy,демократия
crisis,кризис
african,африканский
refuse,мусор
northern,северный
sentence,приговор
hearing,слушание
chinese,китайский язык
temperature,температура
horse,лошадь
christ,Христос
summary,резюме
destroy,разрушать
estate,имущество
priority,приоритет
forest,лес
presence,присутствие
proper,правильный
extremely,очень сильно
expense,расходы
quarter,четверть
employ,применять
download,скачать
cup,чашка
ball,мяч
driver,Водитель
king,король
combine,комбинировать
inform,сообщить
permalink,Постоянная ссылка
draft,проект
expression,выражение
stick,палка
domestic,одомашненный
creation,творчество
workshop,цех
moral,мораль
reasonable,разумный
truly,действительно
patent,патент
volunteer,волонтер
eight,восемь
novel,Роман
clinical,клинический
ignore,игнорировать
relatively,относительно
traffic,движение
profile,профиль
root,корень
diet,диета
membership,членство
trouble,беда
brief,краткий
weather,Погода
neither,ни один
scotland,Шотландия
detailed,подробно
spot,"пятно, место"
camera,камера
evening,вечер
brown,коричневый
creative,творческий
thomas,Томас
long-term,долгосрочный
hill,холм
victim,потерпевший
classroom,школьный класс
yesterday,вчера
transport,транспорт
christmas,рождество
saving,экономия
square,квадрат
willing,готовый
arise,возникать
phase,фаза
guarantee,гарантия
framework,фреймворк
evaluate,оценивать
bird,птица
dance,танцевать
ahead,предстоящий
consist,состоять
reduction,снижение
earlier,ранее
asset,актив
signal,сигнал
constitution,конституция
emerge,появляться
museum,музей
combination,комбинация
seeing,видя
southern,южный
mistake,ошибка
camp,лагерь
testing,тестирование
tea,чай
obvious,очевидный
obviously,очевидно
setting,параметр
terrorist,террорист
specifically,конкретно
existing,существующий
personnel,персонал
conclude,вывод
enemy,враг
distribute,распределять
mix,смешивание
abstract,Аннотация
flight,полет
wonderful,чудесно
edge,край
mar,март
wednesday,среда
tuesday,вторник
rating,рейтинг
rights,права
deny,Отрицать
wage,заработная плата
finding,находка
therapy,терапия
charles,Чарльз
divide,делить
holiday,день отдыха
tie,галстук
identity,личность
theme,тема
pound,фунт
confirm,подтверждать
senate,сенат
inch,дюйм
invite,приглашать
witness,свидетель
conservative,консервативный
intellectual,интеллектуальный
frame,Рамка
reaction,реакция
wave,волна
winter,зима
thursday,четверг
characteristic,характерная черта
judgment,суждение
visual,визуальный
hire,Наем
skin,кожа
lawyer,юрист
forced,принужденный
tradition,традиция
cycle,цикл
debt,долг
israel,Израиль
registration,Регистрация
tom,Том
mechanism,механизм
assess,оценивать
column,столбец
dry,сухой
conversation,беседа
permission,разрешение
approximately,примерно
pp,поп
arrangement,договоренность
frequently,часто
capability,способность
enhance,усиливать
comprehensive,всесторонний
fundamental,фундаментальный
japanese,Японский
beat,бить
cooperation,сотрудничество
ministry,министрофы
suggestion,предположение
disability,инвалидность
criterion,критерий
mary,Мэри
attorney,адвокат
ride,поездка
living,жизнь
indian,индийский
mountain,гора
previously,ранее
roll,рулон
gold,золото
self,себя
switch,выключатель
liberal,либеральный
export,экспорт
burn,гореть
domain,домен
publisher,издатель
household,домашнее хозяйство
delay,задерживать
rural,деревенский
strategic,стратегический
lake,озеро
suit,подходить
onto,на
anyway,в любом случае
britain,Британия
straight,прямой
branch,ветвь
participation,участие
maximum,максимум
interested,заинтересовать
unfortunately,к несчастью
ireland,Ирландия
zone,зона
button,кнопка
brand,бренд
portion,часть
log,бревно
info,Информация
developer,разработчик
maintenance,поддержание
wood,древесина
troop,отряд
weekend,выходные дни
fax,факс
favorite,любимый
interaction,взаимодействие
philosophy,философия
partnership,партнерство
capture,захватывать
feedback,Обратная связь
republican,республиканец
thinking,думать
ticket,проездной билет
effectively,эффективно
working,работающий
scottish,шотландский
eliminate,Устранить
centre,центр
campus,кампус
variable,Переменная
extension,расширение
cat,Кот
mostly,в основном
acquire,приобретать
explanation,объяснение
native,родные
external,внешний
impossible,невозможно
repeat,повторить
assign,назначать
climate,климат
poverty,бедность
possibly,возможно
soil,почва
declare,объявлять
storage,место хранения
complaint,жалоба
assembly,сборка
evolution,эволюция
specie,спецификация
mine,моя
specify,указать
engineer,инженер
jan,январь
warm,тепло
cheap,дешевый
interface,интерфейс
americans,Американцы
media,СМИ
rely,полагаться
chicago,Чикаго
approval,одобрение
kerry,Керри
australian,австралиец
principal,главный
resolve,решать
rank,классифицировать
urban,городской
physician,врач
apparently,видимо
stone,камень
florida,Флорида
vice,порок
disorder,расстройство
exception,исключение
symptom,симптом
fat,толстый
bond,связь
essay,сочинение
contrast,контрастность
increasedly,увеличивается
slightly,немного
marry,выйти замуж
border,граница
mobile,мобильный
normally,как обычно
lady,леди
observation,наблюдение
instrument,инструмент
hang,вешать
guest,гость
entirely,полностью
spiritual,духовный
survive,выживать
permanent,постоянный
guard,сторожить
typically,Обычно
jump,Прыжок
route,маршрут
assistant,ассистент
farmer,фермер
hate,ненавидеть
folk,фольклор
origin,источник
leg,нога
comparison,сравнение
port,порт
audio,аудио
phrase,фраза
danger,Опасность
sheet,простыня
visitor,посетитель
beach,пляж
theatre,театр
royal,королевский
systems,система
appreciate,ценить
laboratory,лаборатория
resources,Ресурсы
analyse,анализировать
surround,окружить
soul,душа
evil,зло
muscle,мышцы
manufacturer,производителя
corner,угол
sufficient,достаточный
bridge,мост
communicate,общаться
ring,звенеть
apple,яблоко
tape,Лента
advertising,Реклама
input,Вход
ourselves,сами
infrastructure,инфраструктура
mode,Режим
threaten,угрожать
bag,сумка
immediate,немедленный
numerous,многочисленный
pack,пакет
existence,существование
outline,контур
producer,режиссер
gather,собирать
gene,ген
properly,должным образом
obligation,обязательство
merely,просто
valley,Долина
eastern,восточный
directory,каталог
hole,отверстие
expensive,дорогие
browser,браузер
written,писать
shot,выстрелил
largely,во многом
pursue,преследовать
mike,Майк
bible,Библия
curriculum,учебный план
highlight,выделять
parliament,парламент
sir,сэр
decrease,снижаться
are,находятся
formal,формальный
planet,планета
transaction,сделка
honor,честь
dress,одеваться
absolutely,абсолютно
opposition,оппозиция
actor,актер
blow,дуть
emotional,эмоционально
russian,русский
invest,инвестировать
transportation,транспорт
increased,повысился
sister,сестра
suspect,подозревать
sorry,извиняюсь
familiar,привычный
studio,студия
sing,петь
dangerous,опасный
discipline,дисциплина
confidence,уверенность
investigate,расследовать
expose,разоблачать
solid,твердый
preparation,подготовка
percentage,процент
chain,цепь
coffee,кофе
reject,отклонять
necessarily,обязательно
output,выход
construct,построить
coast,побережье
elect,избранный
examination,экспертиза
platform,Платформа
somewhat,в некотором роде
dr,доктор
